tipo_aeronave,periodo,qtde_ocorr,perc_ocorr
AVIÃO,12:00 às 18:00,2789,28.41
AVIÃO,18:00 às 00:00,2215,22.56
AVIÃO,00:00 às 06:00,2021,20.59
AVIÃO,06:00 às 12:00,1223,12.46
HELICÓPTERO,12:00 às 18:00,410,4.18
HELICÓPTERO,00:00 às 06:00,220,2.24
HELICÓPTERO,18:00 às 00:00,204,2.08
ULTRALEVE,18:00 às 00:00,147,1.5
ULTRALEVE,12:00 às 18:00,136,1.39
HELICÓPTERO,06:00 às 12:00,109,1.11
ULTRALEVE,00:00 às 06:00,82,0.84
***,12:00 às 18:00,53,0.54
***,18:00 às 00:00,48,0.49
***,00:00 às 06:00,39,0.4
ULTRALEVE,06:00 às 12:00,37,0.38
***,06:00 às 12:00,29,0.3
PLANADOR,12:00 às 18:00,12,0.12
PLANADOR,18:00 às 00:00,10,0.1
ANFÍBIO,12:00 às 18:00,9,0.09
ANFÍBIO,18:00 às 00:00,6,0.06
PLANADOR,00:00 às 06:00,5,0.05
TRIKE,18:00 às 00:00,3,0.03
ANFÍBIO,00:00 às 06:00,3,0.03
TRIKE,06:00 às 12:00,2,0.02
HIDROAVIÃO,18:00 às 00:00,1,0.01
GIROCÓPTERO,12:00 às 18:00,1,0.01
TRIKE,00:00 às 06:00,1,0.01
BALÃO,18:00 às 00:00,1,0.01
DIRIGÍVEL,18:00 às 00:00,1,0.01
